Stage,Plastochron,Segment,Treatment,Length
"S2, S3",P4,Hyp,L88 57 High Light,2.7
"S2, S3",P4,Hyp,L88 57 High Light,3.4
"S2, S3",P4,Hyp,L88 57 High Light,4.5
"S2, S3",P4,Hyp,L88 57 High Light,4.5
"S2, S3",P4,Hyp,L88 57 High Light,3.1
"S2, S3",P4,Epi,L88 57 Low Light,2.8
"S2, S3",P4,Epi,L88 57 Low Light,2.4
"S2, S3",P4,Epi,L88 57 Low Light,2.4
"S2, S3",P4,Epi,L88 57 Low Light,3.9
"S2, S3",P4,Epi,L88 57 Low Light,2.1
"S2, S3",P4,Epi,L88 57 Low Light,3.2
"S2, S3",P4,Epi,L88 57 Low Light,2.4
"S2, S3",P4,Epi,L88 57 Low Light,2
"S2, S3",P4,Epi,L88 57 Low Light,2.6
"S2, S3",P4,Epi,L88 57 Low Light,2.4
"S2, S3",P4,Epi,L88 57 Low Light,2.5
"S2, S3",P4,Epi,L88 57 Low Light,2.9
"S2, S3",P4,Epi,L88 57 Low Light,2
"S2, S3",P4,Epi,L88 57 Low Light,2.4
"S2, S3",P4,Epi,L88 57 Low Light,2.8
"S2, S3",P4,Epi,L88 57 Low Light,2.3
"S2, S3",P4,Epi,L88 57 Low Light,3.4
"S2, S3",P4,Epi,L88 57 Low Light,2.3
"S2, S3",P4,Epi,L88 57 Low Light,2
"S2, S3",P4,Epi,L88 57 Low Light,2.4
"S2, S3",P4,Epi,L88 57 High Light,2.5
"S2, S3",P4,Epi,L88 57 High Light,1.8
"S2, S3",P4,Epi,L88 57 High Light,1.8
"S2, S3",P4,Epi,L88 57 High Light,2
"S2, S3",P4,Epi,L88 57 High Light,2.5
"S2, S3",P4,Epi,L88 57 High Light,2.5
"S2, S3",P4,Epi,L88 57 High Light,2
"S2, S3",P4,Epi,L88 57 High Light,1.8
"S2, S3",P4,Epi,L88 57 High Light,3
"S2, S3",P4,Epi,L88 57 High Light,1.5
"S2, S3",P4,Epi,L88 57 High Light,2.5
"S2, S3",P4,Epi,L88 57 High Light,2.1
"S2, S3",P4,Epi,L88 57 High Light,2.5
"S2, S3",P4,Epi,L88 57 High Light,2
"S2, S3",P4,Epi,L88 57 High Light,1.8
"S2, S3",P4,Epi,L88 57 High Light,2
"S2, S3",P4,Epi,L88 57 High Light,2.5
"S2, S3",P4,IN1,L88 57 Low Light,1.2
"S2, S3",P4,IN1,L88 57 Low Light,1.6
"S2, S3",P4,IN1,L88 57 Low Light,1.9
"S2, S3",P4,IN1,L88 57 Low Light,1.1
"S2, S3",P4,IN1,L88 57 Low Light,1.1
"S2, S3",P4,IN1,L88 57 Low Light,1.1
"S2, S3",P4,IN1,L88 57 Low Light,1.5
"S2, S3",P4,IN1,L88 57 Low Light,1.6
"S2, S3",P4,IN1,L88 57 Low Light,2.1
"S2, S3",P4,IN1,L88 57 Low Light,2.6
"S2, S3",P4,IN1,L88 57 Low Light,1.7
"S2, S3",P4,IN1,L88 57 Low Light,2
"S2, S3",P4,IN1,L88 57 Low Light,1.6
"S2, S3",P4,IN1,L88 57 Low Light,2.3
"S2, S3",P4,IN1,L88 57 Low Light,1.6
"S2, S3",P4,IN1,L88 57 Low Light,1.5
"S2, S3",P4,IN1,L88 57 Low Light,2.2
"S2, S3",P4,IN1,L88 57 Low Light,1.4
"S2, S3",P4,IN1,L88 57 Low Light,1
"S2, S3",P4,IN1,L88 57 Low Light,1.4
"S2, S3",P4,IN1,L88 57 High Light,1
"S2, S3",P4,IN1,L88 57 High Light,1
"S2, S3",P4,IN1,L88 57 High Light,1
"S2, S3",P4,IN1,L88 57 High Light,1.4
"S2, S3",P4,IN1,L88 57 High Light,1
"S2, S3",P4,IN1,L88 57 High Light,1.4
"S2, S3",P4,IN1,L88 57 High Light,1.2
"S2, S3",P4,IN1,L88 57 High Light,1.1
"S2, S3",P4,IN1,L88 57 High Light,1.5
"S2, S3",P4,IN1,L88 57 High Light,1.2
"S2, S3",P4,IN1,L88 57 High Light,1.2
"S2, S3",P4,IN1,L88 57 High Light,1.1
"S2, S3",P4,IN1,L88 57 High Light,1
"S2, S3",P4,IN1,L88 57 High Light,1
"S2, S3",P4,IN1,L88 57 High Light,1.2
"S2, S3",P4,IN1,L88 57 High Light,1.1
"S2, S3",P4,IN1,L88 57 High Light,1.2
"S2, S3",P4,IN2,L88 57 Low Light,0.6
"S2, S3",P4,IN2,L88 57 Low Light,0.8
"S2, S3",P4,IN2,L88 57 Low Light,1.1
"S2, S3",P4,IN2,L88 57 Low Light,0.6
"S2, S3",P4,IN2,L88 57 Low Light,0.8
"S2, S3",P4,IN2,L88 57 Low Light,0.6
"S2, S3",P4,IN2,L88 57 Low Light,0.8
"S2, S3",P4,IN2,L88 57 Low Light,0.8
"S2, S3",P4,IN2,L88 57 Low Light,1
"S2, S3",P4,IN2,L88 57 Low Light,1.3
"S2, S3",P4,IN2,L88 57 Low Light,0.9
"S2, S3",P4,IN2,L88 57 Low Light,1.1
"S2, S3",P4,IN2,L88 57 Low Light,1
"S2, S3",P4,IN2,L88 57 Low Light,1
"S2, S3",P4,IN2,L88 57 Low Light,0.7
"S2, S3",P4,IN2,L88 57 Low Light,0.9
"S2, S3",P4,IN2,L88 57 Low Light,0.9
"S2, S3",P4,IN2,L88 57 Low Light,0.8
"S2, S3",P4,IN2,L88 57 Low Light,0.5
"S2, S3",P4,IN2,L88 57 Low Light,0.6
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,0.4
"S2, S3",P4,IN2,L88 57 High Light,0.8
"S2, S3",P4,IN2,L88 57 High Light,0.6
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,1
"S2, S3",P4,IN2,L88 57 High Light,0.9
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,0.6
"S2, S3",P4,IN2,L88 57 High Light,0.6
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,0.5
"S2, S3",P4,IN2,L88 57 High Light,0.6
"S2, S3",P4,IN3,L88 57 Low Light,0.5
"S2, S3",P4,IN3 ,L88 57 Low Light,0.6
"S2, S3",P4,IN3,L88 57 Low Light,0.6
"S2, S3",P4,IN3,L88 57 Low Light,0.3
"S2, S3",P4,IN3,L88 57 Low Light,0.4
"S2, S3",P4,IN3,L88 57 Low Light,0.3
"S2, S3",P4,IN3,L88 57 Low Light,0.4
"S2, S3",P4,IN3,L88 57 Low Light,0.7
"S2, S3",P4,IN3,L88 57 Low Light,0.5
"S2, S3",P4,IN3,L88 57 Low Light,0.8
"S2, S3",P4,IN3,L88 57 Low Light,0.4
"S2, S3",P4,IN3,L88 57 Low Light,0.6
"S2, S3",P4,IN3,L88 57 Low Light,0.5
"S2, S3",P4,IN3,L88 57 Low Light,0.7
"S2, S3",P4,IN3,L88 57 Low Light,0.3
"S2, S3",P4,IN3,L88 57 Low Light,0.4
"S2, S3",P4,IN3,L88 57 Low Light,0.4
"S2, S3",P4,IN3,L88 57 Low Light,0.4
"S2, S3",P4,IN3,L88 57 Low Light,0.2
"S2, S3",P4,IN3,L88 57 Low Light,0.3
"S2, S3",P4,IN3,L88 57 High Light,0.4
"S2, S3",P4,IN3,L88 57 High Light,0.3
"S2, S3",P4,IN3,L88 57 High Light,0.5
"S2, S3",P4,IN3,L88 57 High Light,0.6
"S2, S3",P4,IN3,L88 57 High Light,0.3
"S2, S3",P4,IN3,L88 57 High Light,0.4
"S2, S3",P4,IN3,L88 57 High Light,0.5
"S2, S3",P4,IN3,L88 57 High Light,0.4
"S2, S3",P4,IN3,L88 57 High Light,0.4
"S2, S3",P4,IN3,L88 57 High Light,0.6
"S2, S3",P4,IN3,L88 57 High Light,0.7
"S2, S3",P4,IN3,L88 57 High Light,0.3
"S2, S3",P4,IN3,L88 57 High Light,0.3
"S2, S3",P4,IN3,L88 57 High Light,0.4
"S2, S3",P4,IN3,L88 57 High Light,0.3
"S2, S3",P4,IN3,L88 57 High Light,0.3
"S2, S3",P4,IN3,L88 57 High Light,0.4
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.2
"S2, S3",P4,IN4,L88 57 Low Light,0.2
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.2
"S2, S3",P4,IN4,L88 57 Low Light,0.2
"S2, S3",P4,IN4,L88 57 Low Light,0.4
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.2
"S2, S3",P4,IN4,L88 57 Low Light,0.2
"S2, S3",P4,IN4,L88 57 Low Light,0.3
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 Low Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.2
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.3
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.3
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.2
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
"S2, S3",P4,IN4,L88 57 High Light,0.1
S3,P5,Hyp,L88 57 Low Light,3
S3,P5,Hyp,L88 57 Low Light,3.8
S3,P5,Hyp,L88 57 Low Light,3.5
S3,P5,Hyp,L88 57 Low Light,2
S3,P5,Hyp,L88 57 Low Light,3
S3,P5,Hyp,L88 57 Low Light,2
S3,P5,Hyp,L88 57 Low Light,3
S3,P5,Hyp,L88 57 Low Light,3
S3,P5,Hyp,L88 57 Low Light,3
S3,P5,Hyp,L88 57 Low Light,3.1
S3,P5,Hyp,L88 57 Low Light,3.3
S3,P5,Hyp,L88 57 Low Light,3.9
S3,P5,Hyp,L88 57 Low Light,4
S3,P5,Hyp,L88 57 Low Light,2.6
S3,P5,Hyp,L88 57 Low Light,2
S3,P5,Hyp,L88 57 Low Light,3.5
S3,P5,Hyp,L88 57 Low Light,2
S3,P5,Hyp,L88 57 Low Light,3
S3,P5,Hyp,L88 57 Low Light,3
S3,P5,Hyp,L88 57 Low Light,2.8
S3,P5,Hyp,L88 57 High Light,4
S3,P5,Hyp,L88 57 High Light,4.4
S3,P5,Hyp,L88 57 High Light,3.1
S3,P5,Hyp,L88 57 High Light,3.1
S3,P5,Hyp,L88 57 High Light,4
S3,P5,Hyp,L88 57 High Light,3.1
S3,P5,Hyp,L88 57 High Light,2.7
S3,P5,Hyp,L88 57 High Light,4.5
S3,P5,Hyp,L88 57 High Light,2.2
S3,P5,Hyp,L88 57 High Light,2
S3,P5,Hyp,L88 57 High Light,2.7
S3,P5,Hyp,L88 57 High Light,3
S3,P5,Hyp,L88 57 High Light,2.5
S3,P5,Hyp,L88 57 High Light,3.2
S3,P5,Hyp,L88 57 High Light,4.5
S3,P5,Hyp,L88 57 High Light,4.2
S3,P5,Hyp,L88 57 High Light,3
S3,P5,Epi,L88 57 Low Light,2.5
S3,P5,Epi,L88 57 Low Light,1.9
S3,P5,Epi,L88 57 Low Light,2.3
S3,P5,Epi,L88 57 Low Light,3.1
S3,P5,Epi,L88 57 Low Light,2
S3,P5,Epi,L88 57 Low Light,3
S3,P5,Epi,L88 57 Low Light,2.2
S3,P5,Epi,L88 57 Low Light,2
S3,P5,Epi,L88 57 Low Light,2.4
S3,P5,Epi,L88 57 Low Light,2.3
S3,P5,Epi,L88 57 Low Light,2.4
S3,P5,Epi,L88 57 Low Light,2.9
S3,P5,Epi,L88 57 Low Light,1.8
S3,P5,Epi,L88 57 Low Light,2.5
S3,P5,Epi,L88 57 Low Light,2.5
S3,P5,Epi,L88 57 Low Light,2
S3,P5,Epi,L88 57 Low Light,3.3
S3,P5,Epi,L88 57 Low Light,2.3
S3,P5,Epi,L88 57 Low Light,2.1
S3,P5,Epi,L88 57 Low Light,2.5
S3,P5,Epi,L88 57 High Light,2.5
S3,P5,Epi,L88 57 High Light,1.8
S3,P5,Epi,L88 57 High Light,1.8
S3,P5,Epi,L88 57 High Light,2.5
S3,P5,Epi,L88 57 High Light,2.5
S3,P5,Epi,L88 57 High Light,1.9
S3,P5,Epi,L88 57 High Light,3
S3,P5,Epi,L88 57 High Light,1.8
S3,P5,Epi,L88 57 High Light,2.6
S3,P5,Epi,L88 57 High Light,1.1
S3,P5,Epi,L88 57 High Light,2
S3,P5,Epi,L88 57 High Light,2
S3,P5,Epi,L88 57 High Light,2.4
S3,P5,Epi,L88 57 High Light,2
S3,P5,Epi,L88 57 High Light,1.8
S3,P5,Epi,L88 57 High Light,2.1
S3,P5,Epi,L88 57 High Light,2.5
S3,P5,IN1,L88 57 Low Light,1.2
S3,P5,IN1,L88 57 Low Light,1.8
S3,P5,IN1,L88 57 Low Light,2
S3,P5,IN1,L88 57 Low Light,1.5
S3,P5,IN1,L88 57 Low Light,1.7
S3,P5,IN1,L88 57 Low Light,1.5
S3,P5,IN1,L88 57 Low Light,1.8
S3,P5,IN1,L88 57 Low Light,1.5
S3,P5,IN1,L88 57 Low Light,2
S3,P5,IN1,L88 57 Low Light,2.6
S3,P5,IN1,L88 57 Low Light,2
S3,P5,IN1,L88 57 Low Light,2
S3,P5,IN1,L88 57 Low Light,1.8
S3,P5,IN1,L88 57 Low Light,2.5
S3,P5,IN1,L88 57 Low Light,1.9
S3,P5,IN1,L88 57 Low Light,1.8
S3,P5,IN1,L88 57 Low Light,2.6
S3,P5,IN1,L88 57 Low Light,1.6
S3,P5,IN1,L88 57 Low Light,1.3
S3,P5,IN1,L88 57 Low Light,1.5
S3,P5,IN1,L88 57 High Light,1
S3,P5,IN1,L88 57 High Light,1.2
S3,P5,IN1,L88 57 High Light,1.2
S3,P5,IN1,L88 57 High Light,1.2
S3,P5,IN1,L88 57 High Light,1.8
S3,P5,IN1,L88 57 High Light,1.1
S3,P5,IN1,L88 57 High Light,1.1
S3,P5,IN1,L88 57 High Light,1.3
S3,P5,IN1,L88 57 High Light,1.5
S3,P5,IN1,L88 57 High Light,1.3
S3,P5,IN1,L88 57 High Light,1.4
S3,P5,IN1,L88 57 High Light,1
S3,P5,IN1,L88 57 High Light,1.5
S3,P5,IN1,L88 57 High Light,1
S3,P5,IN1,L88 57 High Light,1
S3,P5,IN1,L88 57 High Light,1.3
S3,P5,IN1,L88 57 High Light,1.5
S3,P5,IN2,L88 57 Low Light,0.5
S3,P5,IN2,L88 57 Low Light,1.1
S3,P5,IN2,L88 57 Low Light,1.4
S3,P5,IN2,L88 57 Low Light,0.8
S3,P5,IN2,L88 57 Low Light,1.3
S3,P5,IN2,L88 57 Low Light,0.9
S3,P5,IN2,L88 57 Low Light,1
S3,P5,IN2,L88 57 Low Light,1
S3,P5,IN2,L88 57 Low Light,1.1
S3,P5,IN2,L88 57 Low Light,1.5
S3,P5,IN2,L88 57 Low Light,1.4
S3,P5,IN2,L88 57 Low Light,1.5
S3,P5,IN2,L88 57 Low Light,1.5
S3,P5,IN2,L88 57 Low Light,1.3
S3,P5,IN2,L88 57 Low Light,1
S3,P5,IN2,L88 57 Low Light,1.4
S3,P5,IN2,L88 57 Low Light,1.2
S3,P5,IN2,L88 57 Low Light,1
S3,P5,IN2,L88 57 Low Light,1.1
S3,P5,IN2,L88 57 Low Light,1
S3,P5,IN2,L88 57 High Light,1
S3,P5,IN2,L88 57 High Light,1
S3,P5,IN2,L88 57 High Light,0.7
S3,P5,IN2,L88 57 High Light,0.8
S3,P5,IN2,L88 57 High Light,0.8
S3,P5,IN2,L88 57 High Light,0.7
S3,P5,IN2,L88 57 High Light,1
S3,P5,IN2,L88 57 High Light,0.9
S3,P5,IN2,L88 57 High Light,1
S3,P5,IN2,L88 57 High Light,1
S3,P5,IN2,L88 57 High Light,0.7
S3,P5,IN2,L88 57 High Light,0.6
S3,P5,IN2,L88 57 High Light,0.8
S3,P5,IN2,L88 57 High Light,0.7
S3,P5,IN2,L88 57 High Light,0.7
S3,P5,IN2,L88 57 High Light,0.8
S3,P5,IN2,L88 57 High Light,0.8
S3,P5,IN3,L88 57 Low Light,0.4
S3,P5,IN3 ,L88 57 Low Light,0.8
S3,P5,IN3,L88 57 Low Light,0.9
S3,P5,IN3,L88 57 Low Light,0.7
S3,P5,IN3,L88 57 Low Light,0.9
S3,P5,IN3,L88 57 Low Light,0.7
S3,P5,IN3,L88 57 Low Light,0.8
S3,P5,IN3,L88 57 Low Light,0.7
S3,P5,IN3,L88 57 Low Light,1.1
S3,P5,IN3,L88 57 Low Light,1.5
S3,P5,IN3,L88 57 Low Light,1.1
S3,P5,IN3,L88 57 Low Light,1.4
S3,P5,IN3,L88 57 Low Light,1.3
S3,P5,IN3,L88 57 Low Light,1.3
S3,P5,IN3,L88 57 Low Light,0.5
S3,P5,IN3,L88 57 Low Light,0.9
S3,P5,IN3,L88 57 Low Light,1
S3,P5,IN3,L88 57 Low Light,0.9
S3,P5,IN3,L88 57 Low Light,0.5
S3,P5,IN3,L88 57 Low Light,0.9
S3,P5,IN3,L88 57 High Light,1.3
S3,P5,IN3,L88 57 High Light,0.7
S3,P5,IN3,L88 57 High Light,1.1
S3,P5,IN3,L88 57 High Light,1.1
S3,P5,IN3,L88 57 High Light,0.5
S3,P5,IN3,L88 57 High Light,0.9
S3,P5,IN3,L88 57 High Light,1
S3,P5,IN3,L88 57 High Light,1
S3,P5,IN3,L88 57 High Light,0.9
S3,P5,IN3,L88 57 High Light,0.8
S3,P5,IN3,L88 57 High Light,0.7
S3,P5,IN3,L88 57 High Light,0.5
S3,P5,IN3,L88 57 High Light,0.8
S3,P5,IN3,L88 57 High Light,0.5
S3,P5,IN3,L88 57 High Light,1
S3,P5,IN3,L88 57 High Light,0.7
S3,P5,IN3,L88 57 High Light,0.6
S3,P5,IN4,L88 57 Low Light,0.1
S3,P5,IN4,L88 57 Low Light,0.2
S3,P5,IN4,L88 57 Low Light,0.3
S3,P5,IN4,L88 57 Low Light,0.3
S3,P5,IN4,L88 57 Low Light,0.2
S3,P5,IN4,L88 57 Low Light,0.4
S3,P5,IN4,L88 57 Low Light,0.3
S3,P5,IN4,L88 57 Low Light,0.3
S3,P5,IN4,L88 57 Low Light,0.4
S3,P5,IN4,L88 57 Low Light,0.8
S3,P5,IN4,L88 57 Low Light,0.4
S3,P5,IN4,L88 57 Low Light,0.5
S3,P5,IN4,L88 57 Low Light,0.5
S3,P5,IN4,L88 57 Low Light,0.5
S3,P5,IN4,L88 57 Low Light,0.2
S3,P5,IN4,L88 57 Low Light,0.4
S3,P5,IN4,L88 57 Low Light,0.4
S3,P5,IN4,L88 57 Low Light,0.4
S3,P5,IN4,L88 57 Low Light,0.2
S3,P5,IN4,L88 57 Low Light,0.3
S3,P5,IN4,L88 57 High Light,0.9
S3,P5,IN4,L88 57 High Light,0.3
S3,P5,IN4,L88 57 High Light,0.4
S3,P5,IN4,L88 57 High Light,0.4
S3,P5,IN4,L88 57 High Light,0.3
S3,P5,IN4,L88 57 High Light,0.2
S3,P5,IN4,L88 57 High Light,0.4
S3,P5,IN4,L88 57 High Light,0.2
S3,P5,IN4,L88 57 High Light,0.3
S3,P5,IN4,L88 57 High Light,0.3
S3,P5,IN4,L88 57 High Light,0.3
S3,P5,IN4,L88 57 High Light,0.2
S3,P5,IN4,L88 57 High Light,0.2
S3,P5,IN4,L88 57 High Light,0.3
S3,P5,IN4,L88 57 High Light,0.3
S3,P5,IN4,L88 57 High Light,0.2
S3,P5,IN4,L88 57 High Light,0.2
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.4
S3,P5,IN5,L88 57 Low Light,0.2
S3,P5,IN5,L88 57 Low Light,0.3
S3,P5,IN5,L88 57 Low Light,0.3
S3,P5,IN5,L88 57 Low Light,0.3
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.2
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 Low Light,0.1
S3,P5,IN5,L88 57 High Light,0.3
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.2
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
S3,P5,IN5,L88 57 High Light,0.1
"S3, S4",P6,Hyp,L88 57 Low Light,2.5
"S3, S4",P6,Hyp,L88 57 Low Light,3.5
"S3, S4",P6,Hyp,L88 57 Low Light,3.1
"S3, S4",P6,Hyp,L88 57 Low Light,2
"S3, S4",P6,Hyp,L88 57 Low Light,2.8
"S3, S4",P6,Hyp,L88 57 Low Light,2.5
"S3, S4",P6,Hyp,L88 57 Low Light,2.5
"S3, S4",P6,Hyp,L88 57 Low Light,2.6
"S3, S4",P6,Hyp,L88 57 Low Light,3
"S3, S4",P6,Hyp,L88 57 Low Light,3.8
"S3, S4",P6,Hyp,L88 57 Low Light,3.3
"S3, S4",P6,Hyp,L88 57 Low Light,3.3
"S3, S4",P6,Hyp,L88 57 Low Light,4.5
"S3, S4",P6,Hyp,L88 57 Low Light,3
"S3, S4",P6,Hyp,L88 57 Low Light,1.8
"S3, S4",P6,Hyp,L88 57 Low Light,3.5
"S3, S4",P6,Hyp,L88 57 Low Light,2
"S3, S4",P6,Hyp,L88 57 Low Light,3.4
"S3, S4",P6,Hyp,L88 57 Low Light,2
"S3, S4",P6,Hyp,L88 57 Low Light,2.5
"S3, S4",P6,Hyp,L88 57 High Light,3.9
"S3, S4",P6,Hyp,L88 57 High Light,4
"S3, S4",P6,Hyp,L88 57 High Light,3.5
"S3, S4",P6,Hyp,L88 57 High Light,3.5
"S3, S4",P6,Hyp,L88 57 High Light,2.2
"S3, S4",P6,Hyp,L88 57 High Light,4.6
"S3, S4",P6,Hyp,L88 57 High Light,3.1
"S3, S4",P6,Hyp,L88 57 High Light,2.2
"S3, S4",P6,Hyp,L88 57 High Light,4.1
"S3, S4",P6,Hyp,L88 57 High Light,2
"S3, S4",P6,Hyp,L88 57 High Light,1.6
"S3, S4",P6,Hyp,L88 57 High Light,2.8
"S3, S4",P6,Hyp,L88 57 High Light,3
"S3, S4",P6,Hyp,L88 57 High Light,3.8
"S3, S4",P6,Hyp,L88 57 High Light,2.8
"S3, S4",P6,Hyp,L88 57 High Light,4
"S3, S4",P6,Hyp,L88 57 High Light,4.5
"S3, S4",P6,Hyp,L88 57 High Light,3.3
"S3, S4",P6,Epi,L88 57 Low Light,2.8
"S3, S4",P6,Epi,L88 57 Low Light,2
"S3, S4",P6,Epi,L88 57 Low Light,2.1
"S3, S4",P6,Epi,L88 57 Low Light,3.3
"S3, S4",P6,Epi,L88 57 Low Light,2
"S3, S4",P6,Epi,L88 57 Low Light,3.4
"S3, S4",P6,Epi,L88 57 Low Light,2
"S3, S4",P6,Epi,L88 57 Low Light,2.1
"S3, S4",P6,Epi,L88 57 Low Light,2.5
"S3, S4",P6,Epi,L88 57 Low Light,2.3
"S3, S4",P6,Epi,L88 57 Low Light,2.2
"S3, S4",P6,Epi,L88 57 Low Light,3
"S3, S4",P6,Epi,L88 57 Low Light,2
"S3, S4",P6,Epi,L88 57 Low Light,2.5
"S3, S4",P6,Epi,L88 57 Low Light,2.5
"S3, S4",P6,Epi,L88 57 Low Light,2
"S3, S4",P6,Epi,L88 57 Low Light,3.3
"S3, S4",P6,Epi,L88 57 Low Light,2.3
"S3, S4",P6,Epi,L88 57 Low Light,2
"S3, S4",P6,Epi,L88 57 Low Light,2.5
"S3, S4",P6,Epi,L88 57 High Light,2.4
"S3, S4",P6,Epi,L88 57 High Light,2
"S3, S4",P6,Epi,L88 57 High Light,1.8
"S3, S4",P6,Epi,L88 57 High Light,1.8
"S3, S4",P6,Epi,L88 57 High Light,2.6
"S3, S4",P6,Epi,L88 57 High Light,2.3
"S3, S4",P6,Epi,L88 57 High Light,2.1
"S3, S4",P6,Epi,L88 57 High Light,3.2
"S3, S4",P6,Epi,L88 57 High Light,1.8
"S3, S4",P6,Epi,L88 57 High Light,2.7
"S3, S4",P6,Epi,L88 57 High Light,1.5
"S3, S4",P6,Epi,L88 57 High Light,2.3
"S3, S4",P6,Epi,L88 57 High Light,2
"S3, S4",P6,Epi,L88 57 High Light,2.5
"S3, S4",P6,Epi,L88 57 High Light,2.2
"S3, S4",P6,Epi,L88 57 High Light,2
"S3, S4",P6,Epi,L88 57 High Light,2
"S3, S4",P6,Epi,L88 57 High Light,2.6
"S3, S4",P6,IN1,L88 57 Low Light,1.4
"S3, S4",P6,IN1,L88 57 Low Light,1.8
"S3, S4",P6,IN1,L88 57 Low Light,2
"S3, S4",P6,IN1,L88 57 Low Light,1.5
"S3, S4",P6,IN1,L88 57 Low Light,2
"S3, S4",P6,IN1,L88 57 Low Light,1.7
"S3, S4",P6,IN1,L88 57 Low Light,1.6
"S3, S4",P6,IN1,L88 57 Low Light,1.7
"S3, S4",P6,IN1,L88 57 Low Light,2.4
"S3, S4",P6,IN1,L88 57 Low Light,2.5
"S3, S4",P6,IN1,L88 57 Low Light,1.5
"S3, S4",P6,IN1,L88 57 Low Light,2
"S3, S4",P6,IN1,L88 57 Low Light,2
"S3, S4",P6,IN1,L88 57 Low Light,2.5
"S3, S4",P6,IN1,L88 57 Low Light,2
"S3, S4",P6,IN1,L88 57 Low Light,1.8
"S3, S4",P6,IN1,L88 57 Low Light,2.5
"S3, S4",P6,IN1,L88 57 Low Light,1.8
"S3, S4",P6,IN1,L88 57 Low Light,1.1
"S3, S4",P6,IN1,L88 57 Low Light,1.6
"S3, S4",P6,IN1,L88 57 High Light,1.2
"S3, S4",P6,IN1,L88 57 High Light,1.5
"S3, S4",P6,IN1,L88 57 High Light,1.2
